"access_num","koid","cogid","description","ec"
"CEG0996","K00673","COG3138E","arginine N-succinyltransferase","[EC:2.3.1.109]"
"CEG0997","K00675","COG2162Q","N-hydroxyarylamine O-acetyltransferase","[EC:2.3.1.118]"
"CEG0998","K00684","COG2360O","leucyl/phenylalanyl-tRNA--protein transferase","[EC:2.3.2.6]"
"CEG0999","K00697","COG0380G","alpha,alpha-trehalose-phosphate synthase (UDP-forming)","[EC:2.4.1.15]"
"CEG1000","K00705","---","4-alpha-glucanotransferase","[EC:2.4.1.25]"
"CEG1001","K00757","COG2820F","uridine phosphorylase","[EC:2.4.2.3]"
"CEG1002","K00762","COG0461F","orotate phosphoribosyltransferase","[EC:2.4.2.10]"
"CEG1003","K00767","COG0157H","nicotinate-nucleotide pyrophosphorylase (carboxylating)","[EC:2.4.2.19]"
"CEG1004","K00769","COG0503F","xanthine phosphoribosyltransferase","[EC:2.4.2.22]"
"CEG1005","K00773","COG0343J","queuine tRNA-ribosyltransferase","[EC:2.4.2.29]"
"CEG1006","K00783","COG1576S","hypothetical protein","---"
"CEG1007","K00798","COG2109H","cob(I)alamin adenosyltransferase","[EC:2.5.1.17]"
"CEG1008","K00803","COG0277C","alkyldihydroxyacetonephosphate synthase","[EC:2.5.1.26]"
"CEG1009","K00813","COG1448E","aspartate aminotransferase","[EC:2.6.1.1]"
"CEG1010","K00818","COG4992E","acetylornithine aminotransferase","[EC:2.6.1.11]"
"CEG1011","K00819","COG4992E","ornithine--oxo-acid transaminase","[EC:2.6.1.13]"
"CEG1012","K00832","COG1448E","aromatic-amino-acid transaminase","[EC:2.6.1.57]"
"CEG1013","K00839","COG0075E","aminotransferase","[EC:2.6.1.-]"
"CEG1014","K00851","COG1070G","gluconokinase","[EC:2.7.1.12]"
"CEG1015","K00865","---","glycerate kinase","[EC:2.7.1.31]"
"CEG1016","K00872","COG0083E","homoserine kinase","[EC:2.7.1.39]"
"CEG1017","K00874","COG0524G","2-dehydro-3-deoxygluconokinase","[EC:2.7.1.45]"
"CEG1018","K00880","COG1070G","L-xylulokinase","[EC:2.7.1.53]"
"CEG1019","K00881","COG1940KG","allose kinase","[EC:2.7.1.55]"
"CEG1020","K00882","COG1105G","1-phosphofructokinase","[EC:2.7.1.56]"
"CEG1021","K00884","COG1940KG","N-acetylglucosamine kinase","[EC:2.7.1.59]"
"CEG1022","K00886","COG1940KG","polyphosphate glucokinase","[EC:2.7.1.63]"
"CEG1023","K00924","COG0510M","---","---"
"CEG1024","K00926","COG0549E","carbamate kinase","[EC:2.7.2.2]"
"CEG1025","K00938","COG1577I","phosphomevalonate kinase","[EC:2.7.4.2]"
"CEG1026","K00949","---","thiamine pyrophosphokinase","[EC:2.7.6.2]"
"CEG1027","K00955","COG0529P","bifunctional enzyme CysN/CysC","[EC:2.7.7.4 2.7.1.25]"
"CEG1028","K00956","COG2895P","sulfate adenylyltransferase subunit 1","[EC:2.7.7.4]"
"CEG1029","K00965","COG1085C","UDPglucose--hexose-1-phosphate uridylyltransferase","[EC:2.7.7.12]"
"CEG1030","K00966","COG1208MJ","mannose-1-phosphate guanylyltransferase","[EC:2.7.7.13]"
"CEG1031","K00970","COG0617J","poly(A) polymerase","[EC:2.7.7.19]"
"CEG1032","K00975","COG0448G","glucose-1-phosphate adenylyltransferase","[EC:2.7.7.27]"
"CEG1033","K00982","COG1391OT","glutamate-ammonia-ligase adenylyltransferase","[EC:2.7.7.42]"
"CEG1034","K00986","COG3344L","RNA-directed DNA polymerase","[EC:2.7.7.49]"
"CEG1035","K00989","COG0689J","ribonuclease PH","[EC:2.7.7.56]"
"CEG1036","K00990","COG2844O","[protein-PII] uridylyltransferase","[EC:2.7.7.59]"
"CEG1037","K01005","COG2977Q","---","---"
"CEG1038","K01008","COG0709E","selenide, water dikinase","[EC:2.7.9.3]"
"CEG1039","K01034","COG1788I","acetate CoA-transferase alpha subunit","[EC:2.8.3.8]"
"CEG1040","K01035","COG2057I","acetate CoA-transferase beta subunit","[EC:2.8.3.8]"
"CEG1041","K01048","COG2267I","lysophospholipase","[EC:3.1.1.5]"
"CEG1042","K01057","COG0363G","6-phosphogluconolactonase","[EC:3.1.1.31]"
"CEG1043","K01087","COG0637R","trehalose-phosphatase","[EC:3.1.3.12]"
"CEG1044","K01089","COG0241E","imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase","[EC:4.2.1.19 3.1.3.15]"
"CEG1045","K01096","COG0671I","phosphatidylglycerophosphatase B","[EC:3.1.3.27]"
"CEG1046","K01141","COG2925L","exodeoxyribonuclease I","[EC:3.1.11.1]"
"CEG1047","K01142","COG0708L","exodeoxyribonuclease III","[EC:3.1.11.2]"
"CEG1048","K01153","COG0610V","type I restriction enzyme, R subunit","[EC:3.1.21.3]"
"CEG1049","K01156","COG3421S","type III restriction enzyme","[EC:3.1.21.5]"
"CEG1050","K01159","COG0817L","crossover junction endodeoxyribonuclease RuvC","[EC:3.1.22.4]"
"CEG1051","K01160","COG4570L","crossover junction endodeoxyribonuclease RusA","[EC:3.1.22.4]"
"CEG1052","K01175","COG0596R","---","---"
"CEG1053","K01193","---","beta-fructofuranosidase","[EC:3.2.1.26]"
"CEG1054","K01198","COG3507G","xylan 1,4-beta-xylosidase","[EC:3.2.1.37]"
"CEG1055","K01226","COG0366G","trehalose-6-phosphate hydrolase","[EC:3.2.1.93]"
"CEG1056","K01238","COG0366G","---","---"
"CEG1057","K01246","---","DNA-3-methyladenine glycosylase I","[EC:3.2.2.20]"
"CEG1058","K01251","COG0499H","adenosylhomocysteinase","[EC:3.3.1.1]"
"CEG1059","K01256","COG0308E","aminopeptidase N","[EC:3.4.11.2]"
"CEG1060","K01258","COG2195E","tripeptide aminopeptidase","[EC:3.4.11.4]"
"CEG1061","K01259","COG0596R","proline iminopeptidase","[EC:3.4.11.5]"
"CEG1062","K01269","COG2309E","aminopeptidase","[EC:3.4.11.-]"
"CEG1063","K01270","COG2195E","aminoacylhistidine dipeptidase","[EC:3.4.13.3]"
"CEG1064","K01354","COG1770E","oligopeptidase B","[EC:3.4.21.83]"
"CEG1065","K01362","COG0265O","---","---"
"CEG1066","K01417","COG0750M","---","---"
"CEG1067","K01424","COG0252EJ","L-asparaginase","[EC:3.5.1.1]"
"CEG1068","K01429","COG0832E","urease subunit beta","[EC:3.5.1.5]"
"CEG1069","K01430","COG0831E","urease subunit gamma","[EC:3.5.1.5]"
"CEG1070","K01447","COG3023V","N-acetylmuramoyl-L-alanine amidase","[EC:3.5.1.28]"
"CEG1071","K01483","COG3194F","ureidoglycolate hydrolase","[EC:3.5.3.19]"
"CEG1072","K01484","COG3724E","succinylarginine dihydrolase","[EC:3.5.3.23]"
"CEG1073","K01496","COG0139E","phosphoribosyl-AMP cyclohydrolase","[EC:3.5.4.19]"
"CEG1074","K01500","COG0590FJ","---","---"
"CEG1075","K01514","COG0248FP","exopolyphosphatase","[EC:3.6.1.11]"
"CEG1076","K01516","COG0127F","nucleoside-triphosphatase","[EC:3.6.1.15]"
"CEG1077","K01523","COG0140E","phosphoribosyl-ATP pyrophosphohydrolase","[EC:3.6.1.31]"
"CEG1078","K01533","COG2217P","Cu2+-exporting ATPase","[EC:3.6.3.4]"
"CEG1079","K01534","COG2217P","Cd2+/Zn2+-exporting ATPase","[EC:3.6.3.3 3.6.3.5]"
"CEG1080","K01537","COG0474P","Ca2+-transporting ATPase","[EC:3.6.3.8]"
"CEG1081","K01546","COG2060P","K+-transporting ATPase ATPase A chain","[EC:3.6.3.12]"
"CEG1082","K01552","COG0474P","---","---"
"CEG1083","K01567","COG0560E","---","---"
"CEG1084","K01577","COG0028EH","oxalyl-CoA decarboxylase","[EC:4.1.1.8]"
"CEG1085","K01579","---","aspartate 1-decarboxylase","[EC:4.1.1.11]"
"CEG1086","K01588","COG0041F","5-(carboxyamino)imidazole ribonucleotide mutase","[EC:5.4.99.18]"
"CEG1087","K01589","COG0026F","5-(carboxyamino)imidazole ribonucleotide synthase","[EC:6.3.4.18]"
"CEG1088","K01595","COG2352C","phosphoenolpyruvate carboxylase","[EC:4.1.1.31]"
"CEG1089","K01596","COG1274C","phosphoenolpyruvate carboxykinase (GTP)","[EC:4.1.1.32]"
"CEG1090","K01597","COG3407I","diphosphomevalonate decarboxylase","[EC:4.1.1.33]"
"CEG1091","K01598","COG0452H","phosphopantothenoylcysteine decarboxylase","[EC:4.1.1.36]"
"CEG1092","K01616","COG0567C","2-oxoglutarate decarboxylase","[EC:4.1.1.71]"
"CEG1093","K01629","COG0235G","rhamnulose-1-phosphate aldolase","[EC:4.1.2.19]"
"CEG1094","K01643","COG3051C","citrate lyase subunit alpha / citrate CoA-transferase","[EC:4.1.3.6 2.8.3.10]"
"CEG1095","K01646","COG3052C","citrate lyase subunit gamma","[EC:4.1.3.6]"
"CEG1096","K01647","COG0372C","citrate synthase","[EC:2.3.3.1]"
"CEG1097","K01652","COG0028EH","acetolactate synthase I/II/III large subunit","[EC:2.2.1.6]"
"CEG1098","K01664","COG0512EH","para-aminobenzoate synthetase component II","[EC:2.6.1.85]"
"CEG1099","K01669","COG0415L","deoxyribodipyrimidine photo-lyase","[EC:4.1.99.3]"
"CEG1100","K01687","COG0129EG","dihydroxy-acid dehydratase","[EC:4.2.1.9]"
"CEG1101","K01692","COG1024I","enoyl-CoA hydratase","[EC:4.2.1.17]"
"CEG1102","K01697","---","cystathionine beta-synthase","[EC:4.2.1.22]"
"CEG1103","K01711","COG0451MG","GDPmannose 4,6-dehydratase","[EC:4.2.1.47]"
"CEG1104","K01718","COG0564J","pseudouridylate synthase","[EC:4.2.1.70]"
"CEG1105","K01724","COG2154H","4a-hydroxytetrahydrobiopterin dehydratase","[EC:4.2.1.96]"
"CEG1106","K01725","COG1513P","cyanate lyase","[EC:4.2.1.104]"
"CEG1107","K01739","COG0626E","cystathionine gamma-synthase","[EC:2.5.1.48]"
"CEG1108","K01744","COG1027E","aspartate ammonia-lyase","[EC:4.3.1.1]"
"CEG1109","K01752","COG1760E","L-serine dehydratase","[EC:4.3.1.17]"
"CEG1110","K01754","COG1171E","threonine dehydratase","[EC:4.3.1.19]"
"CEG1111","K01760","COG0626E","cystathionine beta-lyase","[EC:4.4.1.8]"
"CEG1112","K01788","COG3010G","N-acylglucosamine-6-phosphate 2-epimerase","[EC:5.1.3.9]"
"CEG1113","K01790","COG1898M","dTDP-4-dehydrorhamnose 3,5-epimerase","[EC:5.1.3.13]"
"CEG1114","K01791","COG0381M","UDP-N-acetylglucosamine 2-epimerase","[EC:5.1.3.14]"
"CEG1115","K01792","COG0676G","glucose-6-phosphate 1-epimerase","[EC:5.1.3.15]"
"CEG1116","K01816","COG3622G","hydroxypyruvate isomerase","[EC:5.3.1.22]"
"CEG1117","K01818","COG2407G","L-fucose isomerase","[EC:5.3.1.25]"
"CEG1118","K01819","COG0698G","galactose-6-phosphate isomerase","[EC:5.3.1.26]"
"CEG1119","K01821","COG1942R","4-oxalocrotonate tautomerase","[EC:5.3.2.-]"
"CEG1120","K01823","COG1304C","isopentenyl-diphosphate delta-isomerase","[EC:5.3.3.2]"
"CEG1121","K01826","COG3232E","5-carboxymethyl-2-hydroxymuconate isomerase","[EC:5.3.3.10]"
"CEG1122","K01835","COG0033G","phosphoglucomutase","[EC:5.4.2.2]"
"CEG1123","K01842","COG1109G","---","---"
"CEG1124","K01854","COG0562M","UDP-galactopyranose mutase","[EC:5.4.99.9]"
"CEG1125","K01895","COG0365I","acetyl-CoA synthetase","[EC:6.2.1.1]"
"CEG1126","K01902","COG0074C","succinyl-CoA synthetase alpha subunit","[EC:6.2.1.5]"
"CEG1127","K01914","COG2502E","aspartate--ammonia ligase","[EC:6.3.1.1]"
"CEG1128","K01919","COG3572H","glutamate--cysteine ligase","[EC:6.3.2.2]"
"CEG1129","K01920","COG0189HJ","glutathione synthase","[EC:6.3.2.3]"
"CEG1130","K01933","COG0150F","phosphoribosylformylglycinamidine cyclo-ligase","[EC:6.3.3.1]"
"CEG1131","K01953","COG0367E","asparagine synthase (glutamine-hydrolysing)","[EC:6.3.5.4]"
"CEG1132","K01955","COG0458EF","carbamoyl-phosphate synthase large subunit","[EC:6.3.5.5]"
"CEG1133","K01958","COG1038C","pyruvate carboxylase","[EC:6.4.1.1]"
"CEG1134","K01965","COG0439I","propionyl-CoA carboxylase alpha chain","[EC:6.4.1.3]"
"CEG1135","K01990","COG1131V","ABC-2 type transport system ATP-binding protein","---"
"CEG1136","K01992","---","ABC-2 type transport system permease protein","---"
"CEG1137","K02007","COG0310P","cobalt/nickel transport system permease protein","---"
"CEG1138","K02012","COG1840P","iron(III) transport system substrate-binding protein","---"
"CEG1139","K02017","COG4148P","molybdate transport system ATP-binding protein","[EC:3.6.3.29]"
"CEG1140","K02018","COG4149P","molybdate transport system permease protein","---"
"CEG1141","K02026","---","multiple sugar transport system permease protein","---"
"CEG1142","K02030","COG0834ET","polar amino acid transport system substrate-binding protein","---"
"CEG1143","K02040","COG0226P","phosphate transport system substrate-binding protein","---"
"CEG1144","K02041","COG3638P","phosphonate transport system ATP-binding protein","---"
"CEG1145","K02044","---","phosphonate transport system substrate-binding protein","---"
"CEG1146","K02045","COG1118P","sulfate transport system ATP-binding protein","[EC:3.6.3.25]"
"CEG1147","K02046","COG0555O","sulfate transport system permease protein","---"
"CEG1148","K02048","COG1613P","sulfate transport system substrate-binding protein","---"
"CEG1149","K02049","COG1116P","sulfonate/nitrate/taurine transport system ATP-binding protein","---"
"CEG1150","K02050","COG0600P","sulfonate/nitrate/taurine transport system permease protein","---"
"CEG1151","K02052","COG3842E","putative spermidine/putrescine transport system ATP-binding protein","---"
"CEG1152","K02053","COG1177E","putative spermidine/putrescine transport system permease protein","---"
"CEG1153","K02054","COG1176E","putative spermidine/putrescine transport system permease protein","---"
"CEG1154","K02055","COG0687E","putative spermidine/putrescine transport system substrate-binding protein","---"
"CEG1155","K02057","COG4603R","simple sugar transport system permease protein","---"
"CEG1156","K02062","COG3840H","thiamine transport system ATP-binding protein","---"
"CEG1157","K02063","COG1178P","thiamine transport system permease protein","---"
"CEG1158","K02065","COG1127Q","putative ABC transport system ATP-binding protein","---"
"CEG1159","K02106","COG2031I","short-chain fatty acids transporter","---"
"CEG1160","K02116","COG3312C","ATP synthase protein I","---"
"CEG1161","K02170","---","biotin biosynthesis protein BioH","---"
"CEG1162","K02189","COG2073H","cobalamin biosynthesis protein CbiG","---"
"CEG1163","K02192","COG2906P","bacterioferritin-associated ferredoxin","---"
"CEG1164","K02193","COG4133O","heme exporter protein A","[EC:3.6.3.41]"
"CEG1165","K02195","COG0755O","heme exporter protein C","---"
"CEG1166","K02196","COG3114U","heme exporter protein D","---"
"CEG1167","K02238","COG0658R","competence protein ComEC","---"
"CEG1168","K02240","COG4098L","competence protein ComFA","---"
"CEG1169","K02259","COG1612O","cytochrome c oxidase subunit XV assembly protein","---"
"CEG1170","K02274","COG0843C","cytochrome c oxidase subunit I","[EC:1.9.3.1]"
"CEG1171","K02275","COG1622C","cytochrome c oxidase subunit II","[EC:1.9.3.1]"
"CEG1172","K02276","COG1845C","cytochrome c oxidase subunit III","[EC:1.9.3.1]"
"CEG1173","K02302","COG0007H","uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase","[EC:2.1.1.107 1.3.1.76 4.99.1.4]"
"CEG1174","K02334","COG1573L","DNA polymerase bacteriophage-type","[EC:2.7.7.7]"
"CEG1175","K02348","COG2153R","ElaA protein","---"
"CEG1176","K02371","COG2070R","enoyl-[acyl carrier protein] reductase II","[EC:1.3.1.-]"
"CEG1177","K02380","---","FdhE protein","---"
"CEG1178","K02397","COG1344N","flagellar hook-associated protein 3 FlgL","---"
"CEG1179","K02413","COG2882NUO","flagellar FliJ protein","---"
"CEG1180","K02418","COG3190N","flagellar protein FliO/FliZ","---"
"CEG1181","K02428","COG1694R","nucleoside-triphosphate pyrophosphatase","[EC:3.6.1.19]"
"CEG1182","K02430","COG1349KG","DeoR family transcriptional regulator, L-fucose operon activator","---"
"CEG1183","K02431","COG4154G","L-fucose mutarotase","[EC:5.1.3.-]"
"CEG1184","K02439","COG0607P","thiosulfate sulfurtransferase","[EC:2.8.1.1]"
"CEG1185","K02441","COG0705R","GlpG protein","---"
"CEG1186","K02443","COG1954K","glycerol uptake operon antiterminator","---"
"CEG1187","K02446","COG0191G","fructose-1,6-bisphosphatase II","[EC:3.1.3.11]"
"CEG1188","K02484","COG0642T","two-component system, OmpR family, sensor kinase","[EC:2.7.13.3]"
"CEG1189","K02485","COG0784T","two-component system, unclassified family, response regulator","---"
"CEG1190","K02502","COG3705E","ATP phosphoribosyltransferase regulatory subunit","---"
"CEG1191","K02505","COG1459NU","protein transport protein HofC","---"
"CEG1192","K02521","COG0583K","LysR family transcriptional regulator, positive regulator for ilvC","---"
"CEG1193","K02533","COG0565J","tRNA/rRNA methyltransferase","[EC:2.1.1.-]"
"CEG1194","K02552","COG1169HQ","menaquinone-specific isochorismate synthase","[EC:5.4.4.2]"
"CEG1195","K02556","COG1291N","chemotaxis protein MotA","---"
"CEG1196","K02557","COG1360N","chemotaxis protein MotB","---"
"CEG1197","K02558","COG0773M","UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase","[EC:6.3.2.-]"
"CEG1198","K02560","COG1560M","lipid A biosynthesis (KDO)2-(lauroyl)-lipid iva acyltransferase","[EC:2.3.1.-]"
"CEG1199","K02564","COG0363G","glucosamine-6-phosphate deaminase","[EC:3.5.99.6]"
"CEG1200","K02571","COG4459C","periplasmic nitrate reductase NapE","---"
"CEG1201","K02573","COG1145C","ferredoxin-type protein NapG","---"
"CEG1202","K02611","COG3396S","phenylacetic acid degradation protein","---"
"CEG1203","K02614","COG2050Q","phenylacetic acid degradation protein","---"
"CEG1204","K02617","COG0663R","phenylacetic acid degradation protein","---"
"CEG1205","K02619","COG0115EH","4-amino-4-deoxychorismate lyase","[EC:4.1.3.38]"
"CEG1206","K02624","COG1414K","IclR family transcriptional regulator, pca regulon regulatory protein","---"
"CEG1207","K02647","COG3835KT","carbohydrate diacid regulator","---"
"CEG1208","K02652","COG2804NU","type IV pilus assembly protein PilB","---"
"CEG1209","K02654","COG1989NOU","leader peptidase (prepilin peptidase) / N-methyltransferase","[EC:3.4.23.43 2.1.1.-]"
"CEG1210","K02656","COG3063NU","type IV pilus assembly protein PilF","---"
"CEG1211","K02687","COG2264J","ribosomal protein L11 methyltransferase","[EC:2.1.1.-]"
"CEG1212","K02742","---","SprT protein","---"
"CEG1213","K02745","COG3444G","PTS system, N-acetylgalactosamine-specific IIB component","[EC:2.7.1.69]"
"CEG1214","K02759","COG1447G","PTS system, cellobiose-specific IIA component","[EC:2.7.1.69]"
"CEG1215","K02765","COG1263G","PTS system, D-glucosamine-specific IIC component","---"
"CEG1216","K02770","COG1299G","PTS system, fructose-specific IIC component","---"
"CEG1217","K02774","COG3414G","PTS system, galactitol-specific IIB component","[EC:2.7.1.69]"
"CEG1218","K02777","COG2190G","PTS system, glucose-specific IIA component","[EC:2.7.1.69]"
"CEG1219","K02784","COG1925G","phosphocarrier protein HPr","---"
"CEG1220","K02795","COG1299G","PTS system, mannose-specific IIC component","---"
"CEG1221","K02798","COG4668G","PTS system, mannitol-specific IIA component","[EC:2.7.1.69]"
"CEG1222","K02800","COG2213G","PTS system, mannitol-specific IIC component","---"
"CEG1223","K02804","COG1263G","PTS system, N-acetylglucosamine-specific IIC component","---"
"CEG1224","K02821","COG2893G","PTS system, ascorbate-specific IIA component","[EC:2.7.1.69]"
"CEG1225","K02827","COG0843C","quinol oxidase polypeptide I","[EC:1.9.3.-]"
"CEG1226","K02840","COG0438M","UDP-D-galactose:(glucosyl)LPS alpha-1,6-D-galactosyltransferase","[EC:2.4.1.-]"
"CEG1227","K02844","COG0438M","UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase","[EC:2.4.1.-]"
"CEG1228","K02847","---","O-antigen ligase","[EC:6.-.-.-]"
"CEG1229","K03048","COG3343K","DNA-directed RNA polymerase subunit delta","[EC:2.7.7.6]"
"CEG1230","K03071","COG1952U","preprotein translocase subunit SecB","---"
"CEG1231","K03087","COG0568K","RNA polymerase nonessential primary-like sigma factor","---"
"CEG1232","K03092","COG1508K","RNA polymerase sigma-54 factor","---"
"CEG1233","K03113","COG0023J","translation initiation factor eIF-1","---"
"CEG1234","K03119","COG2175Q","taurine dioxygenase","[EC:1.14.11.17]"
"CEG1235","K03152","COG0693R","4-methyl-5(b-hydroxyethyl)-thiazole monophosphate biosynthesis","---"
"CEG1236","K03153","COG0665E","glycine oxidase","[EC:1.4.3.19]"
"CEG1237","K03169","COG0550L","DNA topoisomerase III","[EC:5.99.1.2]"
"CEG1238","K03177","COG0130J","tRNA pseudouridine synthase B","[EC:5.4.99.12]"
"CEG1239","K03196","COG0630NU","type IV secretion system protein VirB11","---"
"CEG1240","K03203","COG3736U","type IV secretion system protein VirB8","---"
"CEG1241","K03214","COG0566J","RNA methyltransferase, TrmH family","[EC:2.1.1.-]"
"CEG1242","K03216","COG0219J","RNA methyltransferase, TrmH family, group 2","[EC:2.1.1.-]"
"CEG1243","K03218","COG0566J","RNA methyltransferase, TrmH family","[EC:2.1.1.-]"
"CEG1244","K03270","COG1778R","3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase)","[EC:3.1.3.45]"
"CEG1245","K03274","COG0451MG","ADP-L-glycero-D-manno-heptose 6-epimerase","[EC:5.1.3.20]"
"CEG1246","K03277","COG0859M","heptosyltransferase IV","[EC:2.4.-.-]"
"CEG1247","K03282","COG1970M","large conductance mechanosensitive channel","---"
"CEG1248","K03284","COG0598P","metal ion transporter, MIT family","---"
"CEG1249","K03296","COG0841V","hydrophobic/amphiphilic exporter-1 (mainly G- bacteria), HAE1 family","---"
"CEG1250","K03303","COG1620C","lactate transporter, LctP family","---"
"CEG1251","K03305","COG3104E","proton-dependent oligopeptide transporter, POT family","---"
"CEG1252","K03307","COG0591ER","solute:Na+ symporter, SSS family","---"
"CEG1253","K03308","COG0733R","neurotransmitter:Na+ symporter, NSS family","---"
"CEG1254","K03313","COG1757C","Na+:H+ antiporter, NhaA family","---"
"CEG1255","K03319","COG0471P","divalent anion:Na+ symporter, DASS family","---"
"CEG1256","K03322","COG1914P","manganese transport protein","---"
"CEG1257","K03327","COG0534V","multidrug resistance protein, MATE family","---"
"CEG1258","K03328","COG2244R","polysaccharide transporter, PST family","---"
"CEG1259","K03367","COG1020Q","D-alanine--poly(phosphoribitol) ligase subunit 1","[EC:6.1.1.13]"
"CEG1260","K03380","---","phenol 2-monooxygenase","[EC:1.14.13.7]"
"CEG1261","K03385","---","formate-dependent nitrite reductase, periplasmic cytochrome c552 subunit","[EC:1.7.2.2]"
"CEG1262","K03402","COG1438K","transcriptional regulator of arginine metabolism","---"
"CEG1263","K03407","COG0643NT","two-component system, chemotaxis family, sensor kinase CheA","[EC:2.7.13.3]"
"CEG1264","K03408","COG0835NT","purine-binding chemotaxis protein CheW","---"
"CEG1265","K03427","COG0286V","type I restriction enzyme M protein","[EC:2.1.1.72]"
"CEG1266","K03429","COG0438M","1,2-diacylglycerol 3-glucosyltransferase","[EC:2.4.1.157]"
"CEG1267","K03430","COG0075E","2-aminoethylphosphonate-pyruvate transaminase","[EC:2.6.1.37]"
"CEG1268","K03432","COG0638O","proteasome alpha subunit","[EC:3.4.25.1]"
"CEG1269","K03433","COG0638O","proteasome beta subunit","[EC:3.4.25.1]"
"CEG1270","K03445","COG2814G","MFS transporter, DHA1 family, purine ribonucleoside efflux pump","---"
"CEG1271","K03446","---","MFS transporter, DHA2 family, multidrug resistance protein B","---"
"CEG1272","K03449","COG2807P","MFS transporter, CP family, cyanate transporter","---"
"CEG1273","K03458","COG2233F","nucleobase:cation symporter-2, NCS2 family","---"
"CEG1274","K03465","COG1351F","thymidylate synthase (FAD)","[EC:2.1.1.148]"
"CEG0932","K03471","COG1039L","ribonuclease HIII","[EC:3.1.26.4]"
"CEG1276","K03473","COG0111HE","erythronate-4-phosphate dehydrogenase","[EC:1.1.1.290]"
"CEG1277","K03475","COG3037S","PTS system, ascorbate-specific IIC component","---"
"CEG1278","K03480","COG3711K","transcriptional antiterminator","---"
"CEG1279","K03482","COG2188K","GntR family transcriptional regulator, glv operon transcriptional regulator","---"
"CEG1280","K03501","COG0357M","glucose inhibited division protein B","[EC:2.1.-.-]"
"CEG1281","K03533","COG3381R","TorA specific chaperone","---"
"CEG1282","K03535","COG0477GEPR","MFS transporter, ACS family, glucarate transporter","---"
"CEG1283","K03554","---","recombination associated protein RdgC","---"
"CEG1284","K03558","COG1286R","membrane protein required for colicin V production","---"
"CEG1285","K03565","---","regulatory protein","---"
"CEG1286","K03566","COG0583K","LysR family transcriptional regulator, glycine cleavage system transcriptional activator","---"
"CEG1287","K03567","COG2716E","glycine cleavage system transcriptional repressor","---"
"CEG1288","K03568","COG0312R","TldD protein","---"
"CEG1289","K03572","COG0323L","DNA mismatch repair protein MutL","---"
"CEG1290","K03576","COG0583K","LysR family transcriptional regulator, regulator for metE and metH","---"
"CEG1291","K03578","COG1643L","ATP-dependent helicase HrpA","[EC:3.6.4.13]"
"CEG1292","K03581","COG0507L","exodeoxyribonuclease V alpha subunit","[EC:3.1.11.5]"
"CEG1293","K03582","COG1074L","exodeoxyribonuclease V beta subunit","[EC:3.1.11.5]"
"CEG1294","K03583","COG1330L","exodeoxyribonuclease V gamma subunit","[EC:3.1.11.5]"
"CEG1295","K03591","COG3087D","cell division protein FtsN","---"
"CEG1296","K03592","COG0312R","PmbA protein","---"
"CEG1297","K03597","COG3073T","sigma-E factor negative regulatory protein RseA","---"
"CEG1298","K03599","---","stringent starvation protein A","---"
"CEG1299","K03604","COG1609K","LacI family transcriptional regulator, purine nucleotide synthesis repressor","---"
"CEG1300","K03605","COG0680C","hydrogenase 1 maturation protease","[EC:3.4.24.-]"
"CEG1301","K03609","COG2894D","septum site-determining protein MinD","---"
"CEG1302","K03610","---","septum site-determining protein MinC","---"
"CEG1303","K03614","COG4658C","electron transport complex protein RnfD","---"
"CEG1304","K03620","COG1969C","Ni/Fe-hydrogenase 1 B-type cytochrome subunit","---"
"CEG1305","K03623","COG2732K","ribonuclease inhibitor","---"
"CEG1306","K03630","COG2003L","DNA repair protein RadC","---"
"CEG1307","K03635","COG0314H","molybdopterin synthase catalytic subunit","[EC:2.-.-.-]"
"CEG1308","K03636","COG1977H","molybdopterin synthase sulfur carrier subunit","---"
"CEG1309","K03639","COG2896H","molybdenum cofactor biosynthesis protein","---"
"CEG1310","K03640","COG2885M","peptidoglycan-associated lipoprotein","---"
"CEG1311","K03654","COG0514L","ATP-dependent DNA helicase RecQ","[EC:3.6.4.12]"
"CEG1312","K03655","COG1200LK","ATP-dependent DNA helicase RecG","[EC:3.6.4.12]"
"CEG1313","K03673","COG0526OC","thiol:disulfide interchange protein DsbA","---"
"CEG1314","K03676","---","glutaredoxin 3","---"
"CEG1315","K03706","---","transcriptional pleiotropic repressor","---"
"CEG1316","K03711","COG0735P","Fur family transcriptional regulator, ferric uptake regulator","---"
"CEG1317","K03713","COG0789K","MerR family transcriptional regulator, glutamine synthetase repressor","---"
"CEG1318","K03719","COG1522K","Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein","---"
"CEG1319","K03720","COG2973K","TrpR family transcriptional regulator, trp operon repressor","---"
"CEG1320","K03721","COG3283KE","transcriptional regulator of aroF, aroG, tyrA and aromatic amino acid transport","---"
"CEG1321","K03722","COG1199KL","ATP-dependent DNA helicase DinG","[EC:3.6.4.12]"
"CEG1322","K03723","COG1197LK","transcription-repair coupling factor (superfamily II helicase)","[EC:3.6.4.-]"
